bus_line_name,station_name,location,geo
绵阳16路(三台)公交车路线(旅游车站—北坝车站),国税局,"104.424942,31.643832","{'formatted_address': '四川省绵阳市北川羌族自治县国税局', 'province': '四川省', 'citycode': '0816', 'city': '绵阳市', 'district': '北川羌族自治县', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '510726', 'street': [], 'number': [], 'location': '104.424942,31.643832', 'level': '兴趣点'}"
绵阳16路(三台)公交车路线(旅游车站—北坝车站),政务中心,"105.405974,31.198882","{'formatted_address': '四川省绵阳市盐亭县政务中心', 'province': '四川省', 'citycode': '0816', 'city': '绵阳市', 'district': '盐亭县', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '510723', 'street': [], 'number': [], 'location': '105.405974,31.198882', 'level': '兴趣点'}"
绵阳16路(三台)公交车路线(旅游车站—北坝车站),县委,"104.466992,31.616867","{'formatted_address': '四川省绵阳市北川羌族自治县县委', 'province': '四川省', 'citycode': '0816', 'city': '绵阳市', 'district': '北川羌族自治县', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '510726', 'street': [], 'number': [], 'location': '104.466992,31.616867', 'level': '兴趣点'}"
绵阳16路(三台)公交车路线(旅游车站—北坝车站),体育中心,"105.099808,31.103737","{'formatted_address': '四川省绵阳市三台县体育中心', 'province': '四川省', 'citycode': '0816', 'city': '绵阳市', 'district': '三台县', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '510722', 'street': [], 'number': [], 'location': '105.099808,31.103737', 'level': '兴趣点'}"
绵阳16路(三台)公交车路线(旅游车站—北坝车站),樟树路口,"105.099150,31.092680","{'formatted_address': '四川省绵阳市三台县樟树路', 'province': '四川省', 'citycode': '0816', 'city': '绵阳市', 'district': '三台县', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '510722', 'street': [], 'number': [], 'location': '105.099150,31.092680', 'level': '道路'}"
绵阳16路(三台)公交车路线(旅游车站—北坝车站),文华路口,"105.094952,31.095084","{'formatted_address': '四川省绵阳市三台县文华路', 'province': '四川省', 'citycode': '0816', 'city': '绵阳市', 'district': '三台县', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '510722', 'street': [], 'number': [], 'location': '105.094952,31.095084', 'level': '道路'}"
绵阳16路(三台)公交车路线(旅游车站—北坝车站),北坝车站,"105.099850,31.090990","{'formatted_address': '四川省绵阳市三台县北坝车站', 'province': '四川省', 'citycode': '0816', 'city': '绵阳市', 'district': '三台县', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '510722', 'street': [], 'number': [], 'location': '105.099850,31.090990', 'level': '兴趣点'}"
绵阳17路(三台)公交车路线(旅游车站—金光),旅游车站,"105.076835,31.082686","{'formatted_address': '四川省绵阳市三台县旅游车站', 'province': '四川省', 'citycode': '0816', 'city': '绵阳市', 'district': '三台县', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '510722', 'street': [], 'number': [], 'location': '105.076835,31.082686', 'level': '兴趣点'}"
绵阳17路(三台)公交车路线(旅游车站—金光),梓锦广场,"105.080533,31.084142","{'formatted_address': '四川省绵阳市三台县梓锦广场', 'province': '四川省', 'citycode': '0816', 'city': '绵阳市', 'district': '三台县', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '510722', 'street': [], 'number': [], 'location': '105.080533,31.084142', 'level': '兴趣点'}"
绵阳17路(三台)公交车路线(旅游车站—金光),老西门,"105.085503,31.086042","{'formatted_address': '四川省绵阳市三台县老西门', 'province': '四川省', 'citycode': '0816', 'city': '绵阳市', 'district': '三台县', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '510722', 'street': [], 'number': [], 'location': '105.085503,31.086042', 'level': '村庄'}"
绵阳17路(三台)公交车路线(旅游车站—金光),建设街口,"105.085917,31.090982","{'formatted_address': '四川省绵阳市三台县建设街', 'province': '四川省', 'citycode': '0816', 'city': '绵阳市', 'district': '三台县', 'township': [], 'neighborhood': {'name': [], 'type': []}, 'building': {'name': [], 'type': []}, 'adcode': '510722', 'street': [], 'number': [], 'location': '105.085917,31.090982', 'level': '道路'}"
